令和２年,人口動態統計,,
上巻　死亡　第５．１４表　死因（死因年次推移分類）別にみた性・年次別年齢調整死亡率（人口10万対）
注：１）年齢調整死亡率の基準人口は、2015年（平成27年）モデル人口である。なお、計算方法は、e-Stat（確定数）の「用語及び比率の解説」の「比率の解説」を参照されたい。
　　２）死因名等はICD-10（2013年版）の死因年次推移分類による。
　　３）死亡総数には、死因年次推移分類以外の死因を含む。
　　４）2004・2006・2009～2017年（平成16・18・21～29年）の都道府県からの報告漏れ（2019年３月29日公表）による再集計を行ったことにより、2017年（平成29年）以前の報告書とは数値が一致しない箇所がある。
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Hi12　腎　不　全　,男　,32.3,31.8,31.1,31.7,31.0,31.5,31.3,30.9,30.2,28.7,28.0,27.5,27.2,27.5,27.2,27.3
　 ,女　,20.2,19.9,19.4,19.2,18.3,18.6,18.2,18.0,17.1,16.2,15.5,14.6,14.3,14.1,13.9,13.5
Hi13　老　　衰　,男　,35.3,33.9,34.5,38.6,38.5,44.6,48.4,54.2,57.7,60.0,65.2,67.5,71.1,72.7,76.6,82.7
　 ,女　,36.6,36.2,37.4,41.2,41.9,48.1,52.3,57.7,63.6,65.7,71.5,73.7,76.2,78.2,82.8,85.8
Hi14　不慮の事故　,男　,60.0,55.9,53.3,52.6,51.5,54.3,68.2,51.6,48.8,46.7,45.1,44.2,45.6,45.3,41.9,40.8
　 ,女　,26.7,25.3,25.1,24.4,23.3,25.0,39.2,24.4,22.6,21.9,21.1,20.5,21.0,20.9,19.4,18.2
Hi15　（再掲）交通事故,男　,13.2,11.7,10.4,9.7,9.4,9.0,8.3,7.7,7.4,7.0,6.9,6.4,5.9,5.4,5.0,4.4
　 ,女　,5.0,4.6,4.4,3.7,3.6,3.6,3.3,3.2,2.9,2.6,2.5,2.3,2.3,2.0,1.8,1.5
Hi16　自　　殺　,男　,37.6,36.3,37.4,36.2,37.1,35.0,33.1,30.9,30.4,28.2,27.0,24.3,23.8,23.0,22.7,22.6
　 ,女　,13.1,13.3,13.8,13.5,13.2,13.1,13.8,12.2,12.1,11.5,10.6,9.8,9.4,9.5,8.9,10.3
